Empresa;CNPJ;UF;Situacao;Monitorado
08 - TRANSFORMACAO DIGITAL TREINAMENTO GERENCIAL E EMPRESARIAL LTDA;31.691.778/0001-18;SP;Ativa;Sim
100 POR CENTO LOCACAO DE MOVEIS E MONTAGENS LTDA.;11.179.783/0001-39;SP;Ativa;Sim
105 FM LTDA;01.742.316/0001-11;GO;Ativa;Sim
19.283.057 ROSEMEIRE MARIA DE ALMEIDA;19.283.057/0001-73;MG;Ativa;Sim
1964 LTDA;00.368.537/0001-09;SP;Ativa;Sim
1DOC TECNOLOGIA S.A;19.625.833/0001-76;SC;Ativa;Sim
1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA;11.844.663/0001-09;PE;Ativa;Sim
23S CAPITAL LTDA;09.483.581/0001-34;SP;Ativa;Sim
247 COMERCIO LTDA;00.191.498/0001-17;PE;Ativa;Sim
2BCAPITAL S.A.;07.063.675/0001-29;SP;Ativa;Sim
2BS SECURITIZADORA DE CREDITOS S/A;05.918.950/0001-13;SP;Ativa;Sim
2H OFFSHORE PROJETOS LTDA;06.091.736/0001-07;RJ;Ativa;Sim
2R DISTRIBUIDORA DE ALIMENTOS LTDA;24.156.670/0001-60;SC;Ativa;Sim
2RP NET SERVICOS LTDA;03.814.956/0001-15;SP;Ativa;Sim
2S INOVACOES TECNOLOGICAS S.A.;08.390.006/0001-24;SP;Ativa;Sim
2W ECOBANK S.A.;08.773.135/0001-00;SP;Ativa;Sim
3 X PRODUTOS QUIMICOS LTDA;54.651.344/0001-90;SP;Ativa;Sim
3A LOCACOES LTDA;06.291.731/0001-10;RN;Ativa;Sim
3A LOCACOES LTDA;06.291.731/0001-10;RN;Ativa;Sim
3A ODONTOLOGIA LTDA;35.785.502/0001-50;RS;Ativa;Sim
3BR TECH DESENVOLVIMENTO DE WEBSITES E SOFTWARES S.A.;13.735.132/0001-03;RS;Ativa;Sim
3CAFFI INDUSTRIA E COMERCIO DE CAPSULAS S.A;19.675.900/0001-67;MG;Ativa;Sim
3CON CONSULTORIA E SISTEMAS S.A.;65.699.100/0001-01;SP;Ativa;Sim
3DJ INDUSTRIA E COMERCIO DE PECAS DE METAIS LTDA;17.709.708/0001-19;PR;Ativa;Sim
3M DO BRASIL LTDA;45.985.371/0001-08;SP;Ativa;Sim
